feature,split,class_id,mean_feature_value
duration,train,9,0.10576206
duration,train,10,-0.2534072
duration,val,0,0.24198079
duration,val,1,-0.28572035
duration,val,2,0.2405423
duration,val,3,-0.081347965
duration,val,4,0.13884372
duration,val,5,-0.26202312
duration,val,6,-0.15632248
duration,val,7,-0.16283442
duration,val,8,-0.12974924
duration,val,9,-0.06290649
duration,val,10,-0.31276032
duration,test,0,0.26988465
duration,test,1,-0.29959065
duration,test,2,0.30593222
duration,test,3,0.18176727
duration,test,4,0.049598668
duration,test,5,-0.20791766
duration,test,6,-0.29031792
duration,test,7,-0.278941
duration,test,8,-0.007560412
duration,test,9,-0.24488446
duration,test,10,-0.1693711
frequency,train,0,-1.2266703
frequency,train,1,-0.6660141
frequency,train,2,-0.5767585
frequency,train,3,-1.5405279
frequency,train,4,-0.36566794
frequency,train,5,-0.32220593
frequency,train,6,-1.6131958
frequency,train,7,-0.63389033
frequency,train,8,-4.3034716
frequency,train,9,-0.93533194
frequency,train,10,-5.1768045
frequency,val,0,-0.90201694
frequency,val,1,-0.75766486
frequency,val,2,-0.5369864
frequency,val,3,-1.6165007
frequency,val,4,0.05684083
frequency,val,5,-0.12595429
frequency,val,6,-0.9760122
frequency,val,7,-1.0936131
frequency,val,8,-3.0834177
frequency,val,9,-3.6524541
frequency,val,10,-5.2801986
frequency,test,0,-1.3380946
frequency,test,1,-0.6659756
frequency,test,2,-1.1094602
frequency,test,3,-2.3541036
frequency,test,4,0.25783885
frequency,test,5,-0.2891447
frequency,test,6,-1.5700711
frequency,test,7,-0.95686996
frequency,test,8,0.5708238
frequency,test,9,-2.6574633
frequency,test,10,-4.952134
recency,train,0,0.029425757
recency,train,1,-0.19720452
recency,train,2,-0.26307246
recency,train,3,0.19617882
recency,train,4,0.10730142
recency,train,5,-0.22573702
recency,train,6,0.3498969
recency,train,7,-0.6194974
recency,train,8,-0.21540266
recency,train,9,0.21633482
recency,train,10,-1.1038767
recency,val,0,-0.13519731
recency,val,1,-0.19568215
recency,val,2,-0.29131857
recency,val,3,0.119690016
recency,val,4,0.10236743
recency,val,5,-0.24849878
recency,val,6,0.22503704
recency,val,7,-0.5484043
recency,val,8,0.7128398
recency,val,9,0.03158908
recency,val,10,-1.1216079
recency,test,0,-0.02861215
recency,test,1,-0.1868744
recency,test,2,-0.27932233
recency,test,3,0.17974418
recency,test,4,0.17077784
recency,test,5,-0.3113557
recency,test,6,0.46995804
recency,test,7,-0.6949007
recency,test,8,-0.04199433
recency,test,9,-0.08940814
recency,test,10,-0.6323579
feat9,train,0,0.12272068
feat9,train,1,-0.35664132
feat9,train,2,0.084626235
feat9,train,3,0.01507812
feat9,train,4,-0.14469312
feat9,train,5,-0.080856346
feat9,train,6,-0.40370163
feat9,train,7,-0.24933252
feat9,train,8,0.053772744
feat9,train,9,0.11567073
feat9,train,10,-0.5216378
feat9,val,0,0.044117812
feat9,val,1,-0.20461196
feat9,val,2,0.08006283
feat9,val,3,-0.2569675
feat9,val,4,-0.1678799
feat9,val,5,-0.19074678
feat9,val,6,-0.35669768
feat9,val,7,-0.32000837
feat9,val,8,-0.031085283
feat9,val,9,-0.45698568
feat9,val,10,-0.5989238
feat9,test,0,0.054068208
feat9,test,1,-0.2761637
feat9,test,2,0.08174739
feat9,test,3,0.05504452
feat9,test,4,-0.17636296
feat9,test,5,-0.2524727
feat9,test,6,-0.4315145
feat9,test,7,-0.47293857
feat9,test,8,0.030837655
feat9,test,9,-0.39557788
feat9,test,10,-0.4383091
feat10,train,0,-0.09172075
feat10,train,1,0.4138863
feat10,train,2,-0.08882288
feat10,train,3,0.08800919
feat10,train,4,0.0983115
feat10,train,5,-0.005275067
feat10,train,6,0.3631129
feat10,train,7,0.060619224
feat10,train,8,-0.051550504
feat10,train,9,-0.052037016
feat10,train,10,0.49841157
feat10,val,0,-0.08025419
feat10,val,1,0.26558435
feat10,val,2,-0.13523617
feat10,val,3,0.20632863
feat10,val,4,0.09178287
feat10,val,5,0.10756171
feat10,val,6,0.28479588
feat10,val,7,0.17209028
feat10,val,8,0.09211096
feat10,val,9,0.39390188
feat10,val,10,0.5271776
feat10,test,0,-0.07712047
feat10,test,1,0.3425563
feat10,test,2,-0.16254224
feat10,test,3,-0.01078227
feat10,test,4,0.11890474
feat10,test,5,0.14076765
feat10,test,6,0.36635405
feat10,test,7,0.31289524
feat10,test,8,-0.009809013
feat10,test,9,0.43122882
feat10,test,10,0.4172821
